iter	Passed	Remaining
1021	51864	27201
1022	51911	27148
1023	51952	27092
1024	52001	27040
1025	52052	26990
1026	52104	26939
1027	52152	26887
1028	52203	26837
1029	52249	26784
1030	52303	26734
1031	52346	26680
1032	52392	26627
1033	52441	26575
1034	52493	26525
1035	52543	26474
1036	52590	26422
1037	52642	26372
1038	52701	26325
1039	52748	26272
1040	52796	26220
1041	52845	26168
1042	52892	26116
1043	52942	26065
1044	52990	26013
1045	53041	25962
1046	53084	25908
1047	53136	25858
1048	53183	25805
1049	53233	25754
1050	53281	25702
1051	53327	25649
1052	53380	25600
1053	53425	25547
1054	53526	25520
1055	53575	25468
1056	53627	25418
1057	53671	25364
1058	53717	25311
1059	53771	25262
1060	53816	25208
1061	53863	25156
1062	53912	25105
1063	53962	25053
1064	54009	25001
1065	54059	24950
1066	54112	24900
1067	54153	24845
1068	54200	24793
1069	54249	24742
1070	54297	24689
1071	54349	24640
1072	54407	24592
1073	54455	24540
1074	54500	24487
1075	54548	24435
1076	54591	24380
1077	54641	24330
1078	54685	24276
1079	54733	24224
1080	54779	24171
1081	54827	24119
1082	54878	24069
1083	54937	24022
1084	54990	23972
1085	55042	23922
1086	55147	23895
1087	55198	23844
1088	55250	23794
1089	55296	23742
1090	55341	23688
1091	55388	23636
1092	55441	23586
1093	55502	23540
1094	55560	23492
1095	55604	23439
1096	55652	23387
1097	55697	23334
1098	55744	23281
1099	55800	23233
1100	55851	23182
1101	55896	23129
1102	55940	23076
1103	55992	23025
1104	56033	22971
1105	56084	22920
1106	56131	22868
1107	56180	22817
1108	56222	22762
1109	56266	22709
1110	56316	22658
1111	56361	22605
1112	56415	22556
1113	56471	22507
1114	56532	22460
1115	56585	22411
1116	56631	22358
1117	56677	22306
1118	56721	22252
1119	56768	22200
1120	56820	22150
1121	56903	22112
1122	56984	22073
1123	57029	22020
1124	57081	21970
1125	57131	21918
1126	57174	21865
1127	57219	21812
1128	57266	21760
1129	57314	21708
1130	57370	21659
1131	57434	21614
1132	57561	21592
1133	57611	21540
1134	57662	21490
1135	57712	21438
1136	57762	21387
1137	57828	21342
1138	57895	21297
1139	57952	21249
1140	58000	21197
1141	58053	21147
1142	58103	21096
1143	58157	21046
1144	58207	20995
1145	58256	20943
1146	58307	20893
1147	58352	20840
1148	58401	20788
1149	58464	20742
1150	58516	20691
1151	58564	20639
1152	58608	20586
1153	58657	20535
1154	58699	20481
1155	58746	20429
1156	58813	20383
1157	58871	20335
1158	58917	20283
1159	58971	20233
1160	59016	20180
1161	59070	20130
1162	59125	20081
1163	59180	20031
1164	59232	19981
1165	59287	19931
1166	59335	19880
1167	59386	19829
1168	59435	19777
1169	59480	19725
1170	59528	19673
1171	59573	19620
1172	59622	19569
1173	59675	19519
1174	59725	19468
1175	59775	19416
1176	59818	19363
1177	59866	19311
1178	59956	19273
1179	60009	19223
1180	60054	19170
1181	60102	19119
1182	60153	19068
1183	60204	19017
1184	60251	18965
1185	60302	18914
1186	60361	18866
1187	60414	18815
1188	60457	18762
1189	60505	18710
1190	60552	18659
1191	60602	18607
1192	60653	18556
1193	60697	18504
1194	60746	18452
1195	60791	18400
1196	60838	18348
1197	60887	18296
1198	60936	18245
1199	60989	18195
1200	61037	18143
1201	61090	18093
1202	61144	18043
1203	61193	17992
1204	61242	17940
1205	61295	17890
1206	61343	17838
1207	61394	17788
1208	61447	17737
1209	61497	17686
1210	61546	17635
1211	61599	17585
1212	61654	17535
1213	61729	17491
1214	61780	17440
1215	61832	17390
1216	61884	17339
1217	61938	17289
1218	61991	17239
1219	62042	17188
1220	62095	17138
1221	62143	17086
1222	62192	17035
1223	62235	16982
1224	62286	16931
1225	62341	16882
1226	62385	16829
1227	62434	16778
1228	62482	16726
1229	62530	16674
1230	62575	16622
1231	62632	16573
1232	62683	16522
1233	62727	16469
1234	62773	16417
1235	62823	16366
1236	62871	16314
1237	62925	16265
1238	62974	16213
1239	63020	16161
1240	63068	16110
1241	63116	16058
1242	63160	16005
1243	63209	15954
1244	63256	15903
1245	63312	15853
1246	63360	15801
1247	63406	15749
1248	63460	15700
1249	63508	15648
1250	63554	15596
1251	63604	15545
1252	63652	15493
1253	63703	15443
1254	63754	15392
1255	63798	15340
1256	63846	15288
1257	63893	15236
1258	63935	15184
1259	63986	15133
1260	64036	15082
1261	64084	15031
1262	64135	14980
1263	64183	14928
1264	64231	14877
1265	64284	14827
1266	64333	14775
1267	64387	14725
1268	64436	14674
1269	64479	14622
1270	64527	14570
1271	64572	14518
1272	64622	14467
1273	64669	14416
1274	64719	14365
1275	64767	14313
1276	64820	14263
1277	64867	14211
1278	64914	14160
1279	64964	14109
1280	65010	14057
1281	65055	14005
1282	65104	13954
1283	65159	13904
1284	65205	13853
1285	65251	13801
1286	65302	13750
1287	65349	13699
1288	65397	13647
1289	65441	13595
1290	65488	13544
1291	65534	13492
1292	65585	13441
1293	65631	13390
1294	65675	13337
1295	65717	13285
1296	65761	13233
1297	65806	13181
1298	65855	13130
1299	65903	13079
1300	65952	13028
1301	65994	12975
1302	66036	12923
1303	66077	12870
1304	66122	12819
1305	66166	12767
1306	66213	12715
1307	66265	12665
1308	66308	12613
1309	66360	12562
1310	66408	12511
1311	66452	12459
1312	66502	12409
1313	66549	12357
1314	66592	12305
1315	66640	12254
1316	66696	12204
1317	66744	12153
1318	66792	12102
1319	66835	12050
1320	66889	12000
1321	66946	11951
1322	66994	11900
1323	67041	11848
1324	67088	11797
1325	67138	11746
1326	67186	11695
1327	67229	11643
1328	67275	11592
1329	67323	11541
1330	67370	11489
1331	67419	11438
1332	67466	11387
1333	67509	11336
1334	67558	11285
1335	67608	11234
1336	67665	11184
1337	67709	11133
1338	67758	11082
1339	67802	11030
1340	67854	10980
1341	67901	10928
1342	67954	10878
1343	68003	10827
1344	68060	10778
1345	68109	10727
1346	68154	10676
1347	68216	10627
1348	68263	10576
1349	68314	10525
1350	68367	10475
1351	68474	10433
1352	68526	10382
1353	68582	10332
1354	68639	10283
1355	68699	10233
1356	68752	10183
1357	68803	10133
1358	68853	10082
1359	68908	10032
1360	68951	9980
1361	69003	9929
1362	69060	9880
1363	69116	9830
1364	69169	9780
1365	69220	9729
1366	69272	9678
1367	69318	9627
1368	69361	9575
1369	69415	9525
1370	69463	9474
1371	69511	9423
1372	69557	9372
1373	69604	9321
1374	69653	9270
1375	69707	9220
1376	69817	9177
1377	69863	9125
1378	69909	9074
1379	69961	9024
1380	70009	8973
1381	70078	8924
1382	70134	8874
1383	70194	8825
1384	70239	8773
1385	70295	8723
1386	70356	8674
1387	70403	8622
1388	70454	8572
1389	70501	8521
1390	70550	8470
1391	70600	8419
1392	70654	8368
1393	70707	8318
1394	70755	8267
1395	70809	8217
1396	70849	8165
1397	70898	8114
1398	70945	8063
1399	70999	8012
1400	71039	7960
1401	71083	7909
1402	71130	7858
1403	71180	7807
1404	71227	7756
1405	71277	7705
1406	71331	7655
1407	71381	7604
1408	71424	7553
1409	71474	7502
1410	71523	7451
1411	71584	7401
1412	71639	7351
1413	71689	7300
1414	71732	7249
1415	71781	7198
1416	71834	7148
1417	71881	7096
1418	71927	7045
1419	71971	6994
1420	72016	6943
1421	72064	6892
1422	72106	6840
1423	72149	6789
1424	72197	6738
1425	72243	6687
1426	72288	6636
1427	72336	6585
1428	72386	6534
1429	72435	6483
1430	72481	6432
1431	72524	6381
1432	72572	6330
1433	72618	6279
1434	72663	6228
1435	72717	6177
1436	72767	6127
1437	72818	6076
1438	72864	6025
1439	72913	5974
1440	72963	5924
1441	73015	5873
1442	73065	5822
1443	73117	5772
1444	73168	5721
1445	73215	5670
1446	73260	5619
1447	73307	5568
1448	73357	5518
1449	73412	5467
1450	73458	5416
1451	73505	5366
1452	73554	5315
1453	73598	5264
1454	73654	5214
1455	73701	5163
1456	73742	5111
1457	73791	5061
1458	73842	5010
1459	73886	4959
1460	73943	4909
1461	73998	4859
1462	74044	4808
1463	74091	4757
1464	74142	4706
1465	74195	4656
1466	74248	4605
1467	74296	4554
1468	74340	4503
1469	74387	4453
1470	74435	4402
1471	74482	4351
1472	74532	4300
1473	74587	4250
1474	74633	4199
1475	74679	4148
1476	74727	4098
1477	74781	4047
1478	74835	3997
1479	74890	3946
1480	74932	3895
1481	74980	3845
1482	75032	3794
1483	75084	3744
1484	75136	3693
1485	75187	3642
1486	75234	3592
1487	75278	3541
1488	75334	3490
1489	75376	3439
1490	75419	3389
1491	75463	3338
1492	75512	3287
1493	75564	3237
1494	75615	3186
1495	75660	3135
1496	75711	3085
1497	75753	3034
